id,bounding_box
person:0.8465,[1135   83   58  131]
person:0.8212,[172   9  35  71]
person:0.7359,[868   0  26  64]
person:0.6788,[1209   -1   24   27]
person:0.6599,[382 150  34  68]
person:0.6107,[842  27  24  49]
person:0.6007,[1259   63   21   79]
person:0.5546,[605  -2  28  54]
person:0.9939,[746 552  53 120]
person:0.9938,[502 247  39 110]
person:0.9934,[982 256  55 104]
person:0.9843,[472 129  32  80]
person:0.9839,[763 290  40  88]
person:0.9819,[884 474  71 109]
person:0.9806,[996 354  53 114]
person:0.9789,[155 333  56 118]
person:0.9766,[617 137  37  89]
person:0.9764,[529  38  29  81]
person:0.9717,[1212  403   57  110]
person:0.9715,[1201  120   40   83]
person:0.9701,[448 363  51 118]
person:0.9692,[381 203  41  86]
person:0.9691,[728  44  28  69]
person:0.9666,[781  77  30  76]
person:0.9627,[562  40  35  78]
person:0.9496,[660  82  33  97]
person:0.9205,[54 82 35 78]
